mere,単に。ただ、単なる。,たんに。ただ、たんなる。
overfitting,過学習。モデルが訓練データに過度に適合してしまう現象。,かがくしゅう。もでるがくんれんでーたにかどにてきごうしてしまうげんしょう。
translation,言語間の翻訳、変換,げんごまのほんやく、へんかん
digit,数字の桁、指,すうじのけた、ゆび
dip,浸す、つける,ひたす、つける
explain,説明する。何かをわかりやすく説明すること。,せつめいする。なにかをわかりやすくせつめいすること。
fur,毛皮、動物の毛,けがわ、どうぶつのけ
statute,制定法、法令、条例,せいていほう、ほうれい、じょうれい
wicked,道徳的に悪い性質。,どうとくてきにわるいせいしつ。
absolutely,確実に、完全に。完全で疑う余地がないことを強調します。,かくじつに、かんぜんに。かんぜんでうたがうよちがないことをきょうちょうします。
substance,物質、本質、実体,ぶっしつ、ほんしつ、じったい
transcript,複写。書き写し、記録。,ふくしゃ。かきうつし、きろく。
crowd,群衆、人込み,ぐんしゅう、ひとごみ
dormitory,寮、学生寮,りょう、がくせいりょう
beverage,飲料、水やジュース、アルコールを含む。,いんりょう、みずやじゅーす、あるこーるをふくむ。
publisher,本や雑誌などの出版社,ほんやざっしなどのしゅっぱんしゃ
brook,小川、せせらぎ,おがわ、せせらぎ
autonomy,自治権、自主性、独立性,じちけん、じしゅせい、どくりつせい
make progress,進歩する。,しんぽする。
realize,わかる、実現する。突然理解したり、目標や夢を現実のものにすること。,わかる、じつげんする。とつぜんりかいしたり、もくひょうやゆめをげんじつのものにすること。
supreme,最高の、至上の,さいこうの、しじょうの
passage,一節、通路、経過,いっせつ、つうろ、けいか
pharmacy,薬局、調剤薬局,やっきょく、ちょうざいやっきょく
displayed,画面や場所に示された,がめんやばしょにしめされた
drapery,カーテン、垂れ布,かーてん、たれぬの
frequent,頻繁な、しばしばの。よく起こるさま。,ひんぱんな、しばしばの。よくおこるさま。
embrace,抱きしめる、受け入れる,だきしめる、うけいれる
represent,代表する、表現する、描写する,だいひょうする、ひょうげんする、びょうしゃする
extraordinary,並外れた、驚くべき,なみはずれた、おどろくべき
cartoon,アニメや漫画、風刺画,あにめやまんが、ふうしが
receipt,領収書。支払いを受けたことの証明書。例 a sales receipt(販売の領収書),りょうしゅうしょ。しはらいをうけたことのしょうめいしょ。れい a sales receipt(はんばいのりょうしゅうしょ)
find out,発見する。,はっけんする。
proficiency,熟練性。あることを熟達していること。,じゅくれんせい。あることをじゅくたつしていること。
impossible,不可能な、できない状態。,ふかのうな、できないじょうたい。
sign,合図、標識。あることを示すもの。,あいず、ひょうしき。あることをしめすもの。
forward,前方へ。前へ進む方向へ。,ぜんぽうへ。まえへすすむほうこうへ。
fill,満たす、または埋める。容器や空間を内容物でいっぱいにすることを意味します。,みたす、またはうめる。ようきやくうかんをないようぶつでいっぱいにすることをいみします。
restrict,行動を制限する。,こうどうをせいげんする。
allot,割り当てる、配分する,わりあてる、はいぶんする
rest,体を休めるための時間。,からだをやすめるためのじかん。
sustainable,環境維持可能な,かんきょういじかのうな
advice,助言、アドバイス,じょげん、あどばいす
trade barriers,貿易障壁。国際貿易を制限する関税やその他の規制。,ぼうえきしょうへき。こくさいぼうえきをせいげんするかんぜいやそのほかのきせい。
county,アメリカなどで州の下に位置する行政区分、郡。,あめりかなどでしゅうのしたにいちするぎょうせいくぶん、ぐん。
sure,確信して。確信を持っていることを表す。,かくしんして。かくしんをもっていることをあらわす。
combination,組み合わせ、結合,くみあわせ、けつごう
curious,知りたがる性質。,しりたがるせいしつ。
paragraph,段落。文章を構成するまとまった部分。,だんらく。ぶんしょうをこうせいするまとまったぶぶん。
volunteer,ボランティア、無報酬で働く人。,ぼらんてぃあ、むほうしゅうではたらくにん。
allowance,定期的に支給される手当。,ていきてきにしきゅうされるてあて。
default,初期設定、債務不履行,しょきせってい、さいむふりこう
instead,代わりに、あるいはその代わりとして。何かを変更して別のものを選ぶことを意味します。,かわりに、あるいはそのかわりとして。なにかをへんこうしてべつのものをえらぶことをいみします。
onward,前方への、進歩的な,ぜんぽうへの、しんぽてきな
debate,討論、議論、討議,とうろん、ぎろん、とうぎ
array,整列させる、物や情報を特定の順序で配置する。,せいれつさせる、ものやじょうほうをとくていのじゅんじょではいちする。
submitting,提出や申請を行っている状態。,ていしゅつやしんせいをいっているじょうたい。
interest,関心や興味を引くこと、興味。,かんしんやきょうみをひくこと、きょうみ。
indemnity,損失補償、保証金,そんしつほしょう、ほしょうきん
spectacular,驚くべき壮観な様子。,おどろくべきそうかんなようす。
poorly,かわいそうに、貧弱に。,かわいそうに、ひんじゃくに。
significance,重要性、意味や価値の程度。,じゅうようせい、いみやかちのていど。
ditch,溝、排水路,みぞ、はいすいみち
published,公表された、または広く発表された内容。,こうひょうされた、またはひろくはっぴょうされたないよう。
dispute,意見の不一致や争い。,いけんのふいっちやあらそい。
turn out,結果として〜となる。,けっかとして〜となる。
launch,商品やサービスを発表。,しょうひんやさーびすをはっぴょう。
overtake,追い越す、追い抜く,おいこす、おいぬく
intermission,休憩時間、幕間,きゅうけいじかん、まくま
mission,使命、任務、目的,しめい、にんむ、もくてき
electron,原子を構成する負の電荷を持つ粒子。,げんしをこうせいするふのでんかをもつりゅうし。
scarce,希少な、不足している,きしょうな、ふそくしている
define,特定の意味を明確に示す。,とくていのいみをめいかくにしめす。
manageable,管理しやすい、対処可能な,かんりしやすい、たいしょかのうな
capitalisation,資本化、大文字化,しほんか、おおもじか
removal,何かを取り除くこと。,なにかをとりのぞくこと。
ambition,夢、大きな目標,ゆめ、おおきなもくひょう
disturbing,心を乱す、邪魔をするような。,こころをみだす、じゃまをするような。
protocol,公式な儀礼や手続き、協定。,こうしきなぎれいやてつづき、きょうてい。
alternatively,代替として、または,だいたいとして、または
loose,ゆるんだ、緩い状態。,ゆるんだ、ゆるいじょうたい。
hardly,ほとんど～ない、またはめったに～ない。物事がほとんど起きない状態を示します。,ほとんど~ない、またはめったに~ない。ものごとがほとんどおきないじょうたいをしめします。
preferable,望ましい、他より選ばれるべき。,のぞましい、ほかよりえらばれるべき。
catering,ケータリング、飲食提供,けーたりんぐ、いんしょくていきょう
experienced,経験豊富な、熟練した。,けいけんほうふな、じゅくれんした。
reward,努力や成果に対して与えられるご褒美、報奨、または報酬を与えること。,どりょくやせいかにたいしてあたえられるごほうび、ほうしょう、またはほうしゅうをあたえること。
promotional,販売促進用の・宣伝の,はんばいそくしんようの・せんでんの
likely,起こりそうな、ありそうな。可能性が高いことを示す。Very likely(可能性が非常に高い)、It is likely that...(～する可能性が高い)などと使用。probably と似た意味。,おこりそうな、ありそうな。かのうせいがたかいことをしめす。Very likely(かのうせいがひじょうにたかい)、It is likely that...(~するかのうせいがたかい)などとしよう。probably とにたいみ。
recess,休憩や一時的な休み。,きゅうけいやいちじてきなやすみ。
concession,譲歩、譲歩。相手に対して自分の主張を一部譲ること。,じょうほ、じょうほ。あいてにたいしてじぶんのしゅちょうをいちぶゆずること。
refund,払い戻す、払い戻し。支払ったお金を戻すこと。例 a full refund(全額払い戻し),はらいもどす、はらいもどし。しはらったおかねをもどすこと。れい a full refund(ぜんがくはらいもどし)
perhaps,おそらく、または～かもしれない。確信度が低い予測を示す際に使用します。,おそらく、または~かもしれない。かくしんどがひくいよそくをしめすさいにしようします。
operating,機械や装置が作動している状態。,きかいやそうちがさどうしているじょうたい。
legislation,法律制定、立法行為,ほうりつせいてい、りっぽうこうい
exhibitor,展示者、商品や作品を展示する人。,てんじもの、しょうひんやさくひんをてんじするにん。
satisfactory,満足できる、十分な,まんぞくできる、じゅうぶんな
distract,注意を他にそらす、気を散らすこと。,ちゅういをほかにそらす、きをちらすこと。
enroll,入学する。学校や教育プログラムに正式に登録して参加すること。,にゅうがくする。がっこうやきょういくぷろぐらむにせいしきにとうろくしてさんかすること。
intensive,集中的な、強度が高い。,しゅうちゅうてきな、きょうどがたかい。
prerequisite,必要条件、前提条件,ひつようじょうけん、ぜんていじょうけん
isolation,隔離、孤立した状態。,かくり、こりつしたじょうたい。
available,利用可能な、入手できる。特に「～することができる」「手にはいる」の意味で、available for use(使用可能)、not available now(現在利用不可)のように使用。在庫や時間の有無を示すのに頻出。,りようかのうな、にゅうしゅできる。とくに「~することができる」「てにはいる」のいみで、available for use(しようかのう)、not available now(げんざいりようふか)のようにしよう。ざいこやじかんのうむをしめすのにひんしゅつ。
conservative,保守的な考え方。,ほしゅてきなかんがえかた。
leap,高く跳び上がる動作。,たかくとびあがるどうさ。
debris,破片、壊れた物の残骸や残り。,はへん、こわれたもののざんがいやのこり。
constraint,行動や選択の拘束や制限。,こうどうやせんたくのこうそくやせいげん。
general,一般的、広く普及した,いっぱんてき、ひろくふきゅうした
appraisal,評価、査定、鑑定,ひょうか、さてい、かんてい
wan,青白い、血の気のない,あおじろい、ちのけのない
surface,表面、表層。物の外側の部分。,ひょうめん、ひょうそう。もののそとがわのぶぶん。
disappointed,がっかりした、失望した。期待が裏切られて落胆した状態。,がっかりした、しつぼうした。きたいがうらぎられてらくたんしたじょうたい。
overlook,重要な点を見落とす。,じゅうようなてんをみおとす。
authorized,承認された、公認の。正式に許可を得た状態。,しょうにんされた、こうにんの。せいしきにきょかをえたじょうたい。
seek,求めて探す行為。,もとめてさがすこうい。
landfill,埋め立て、廃棄物処分場。,うめたて、はいきぶつしょぶんば。
carpenter,木材を使う大工職人。,もくざいをつかうだいくしょくにん。
organism,生物、有機体,せいぶつ、ゆうきたい
accession,加入、即位、加盟,かにゅう、そくい、かめい
get along,仲良くする。,なかよくする。
admiration,感心や称賛の気持ち。,かんしんやしょうさんのきもち。
apparatus,特定の目的のための機器。,とくていのもくてきのためのきき。
discovered,発見した。新しい情報や場所、物事を初めて見つけ出すことを意味します。,はっけんした。あたらしいじょうほうやばしょ、ものごとをはじめてみつけだすことをいみします。
forbid,禁じる、禁止する。,きんじる、きんしする。
instead of,～の代わりに,~のかわりに
leash,リード、束縛するもの,りーど、そくばくするもの
discontinued,生産中止された、販売終了した,せいさんちゅうしされた、はんばいしゅうりょうした
deliver,配達する、届ける、提供する,はいたつする、とどける、ていきょうする
voluntarily,自発的に、自分の意志で行うこと。,じはつてきに、じぶんのいしでおこなうこと。
ownership,所有権、所有,しょゆうけん、しょゆう
terribly,極度に、ひどく。,きょくどに、ひどく。
vanish,突然に消えてしまう。,とつぜんにきえてしまう。
corrupt,不正や不道徳な行動によって堕落した状態。,ふせいやふどうとくなこうどうによってだらくしたじょうたい。
handcrafted,手作業で丁寧に作られた。,てさぎょうでていねいにつくられた。
hesitate,決断や行動をためらう様子,けつだんやこうどうをためらうようす
demanding,要求の多い、厳しい,ようきゅうのおおい、いかめしい
peasant,小作農や農民。,おざくのうやのうみん。
reluctant,しぶしぶの。心からやりたいと思っていなくて、いやいやながら何かをすること。,しぶしぶの。こころからやりたいとおもっていなくて、いやいやながらなにかをすること。
advanced,進んだ、進化した、上級の。,すすんだ、しんかした、じょうきゅうの。
hold,握る、保持する、開催する,にぎる、ほじする、かいさいする
artwork,芸術作品、アート作品。,げいじゅつさくひん、あーとさくひん。
cheque,銀行振出の支払証書、小切手,ぎんこうふりだしのしはらいしょうしょ、こぎって
intelligence,情報の収集や理解力。,じょうほうのしゅうしゅうやりかいりょく。
diplomat,外交官、外交使節,がいこうかん、がいこうしせつ
beak,くちばし、嘴,くちばし、くちばし
refuse,提案や要求を拒否すること。,ていあんやようきゅうをきょひすること。
once,一度、かつて、以前,いちど、かつて、いぜん
promptly,すぐに、即座に、迅速に,すぐに、そくざに、じんそくに
row,ボートを漕ぐ、列,ぼーとをこぐ、れつ
failure,故障、失敗。期待された結果が得られないこと。,こしょう、しっぱい。きたいされたけっかがえられないこと。
procession,人や車両などの行列、または進行。,にんやしゃりょうなどのぎょうれつ、またはしんこう。
awareness,知識や理解の程度。,ちしきやりかいのていど。
extensive,幅広く広がること。,はばひろくひろがること。
stem,茎、幹、起源,くき、かん、きげん
allowed,許可した、認めた,きょかした、みとめた
ample,十分な、余裕のある量。,じゅうぶんな、よゆうのあるりょう。
lifetime,寿命、個体が生きる期間。,じゅみょう、こたいがいきるきかん。
baseline,ベースライン。比較や評価の基準となる初期状態や基本性能。,べーすらいん。ひかくやひょうかのきじゅんとなるしょきじょうたいやきほんせいのう。
last-minute,土壇場の、直前の,どたんばの、ちょくぜんの
gaze,じっと見つめる、凝視する,じっとみつめる、ぎょうしする
query,質問や疑問の表現。,しつもんやぎもんのひょうげん。
constitute,成り立たせる要素。,なりたたせるようそ。
bleach,漂白する、脱色する,ひょうはくする、だっしょくする
apparently,明らかに。客観的に見て、または見たところ確かであると思われることを指します。,あきらかに。きゃっかんてきにみて、またはみたところたしかであるとおもわれることをさします。
virtual,仮想の、実質的な,かそうの、じっしつてきな
spill,こぼす、流出する、漏らす,こぼす、りゅうしゅつする、もらす
collapse,崩壊する、倒れる,ほうかいする、たおれる
private,個人的な、私的な、一般に公開されない。,こじんてきな、してきな、いっぱんにこうかいされない。
lengthy,長い、冗長な,ながい、じょうちょうな
arrest,法的手続きに基づく拘束。,ほうてきてつづきにもとづくこうそく。
peninsula,陸地が水に囲まれた半島。,りくちがみずにかこまれたはんしま。
thousands of,何千もの、多数の,なんぜんもの、たすうの
condemn,行為や状況を非難すること。,こういやじょうきょうをひなんすること。
prefecture,県、または地方行政区画。,けん、またはちほうぎょうせいくかく。
harmless,無害な、害のない,むがいな、そこのない
slavery,奴隷制度、隷属,どれいせいど、れいぞく
unveil,秘密や真実を明らかにする。,ひみつやしんじつをあきらかにする。
noticed,何かに気づいた状態。,なにかにきづいたじょうたい。
twice,2回、二重に行うこと。,2かい、にじゅうにおこなうこと。
diner,アメリカ式の大衆食堂,あめりかしきのたいしゅうしょくどう
experiment,実験、試み,じっけん、こころみ
crime,犯罪、違法行為,はんざい、いほうこうい
unkind,無愛想で思いやりがない。,ぶあいそうでおもいやりがない。
cure,病気を治す。,びょうきをなおす。
oxygen,酸素、酸素原子,さんそ、さんそげんし
frank,率直な。隠し立てせずに素直に意見を述べることを意味します。,そっちょくな。かくしたてせずにすなおにいけんをのべることをいみします。
delivery,郵送、配達。商品などを指定された場所に届けること。,ゆうそう、はいたつ。しょうひんなどをしていされたばしょにとどけること。
meeting,打ち合わせ。複数の人が集まって話し合いをすること。,うちあわせ。ふくすうのにんがあつまってはなしあいをすること。
display,見せることや展示。,みせることやてんじ。
unavailable,利用できない、または手が届かない。,りようできない、またはてがとどかない。
emulation,良い意味での競争、模倣,よいいみでのきょうそう、もほう
remarkably,驚くほど著しく、顕著に,おどろくほどいちじるしく、けんちょに
negotiation,交渉、話し合い。複数の当事者間で合意を目指す過程。,こうしょう、はなしあい。ふくすうのとうじしゃかんでごういをめざすかてい。
specific,具体的な、明確な,ぐたいてきな、めいかくな
feminist,男女平等を支持する人。,だんじょびょうどうをしじするにん。
fatigue,体力や気力の疲労、消耗。,たいりょくやきりょくのひろう、しょうもう。
disguise,変装させる、姿を隠す手段。,へんそうさせる、すがたをかくすしゅだん。
susceptible,簡単に影響を受ける。,かんたんにえいきょうをうける。
privilege,特権、特別な権利,とっけん、とくべつなけんり
barn,納屋、家畜小屋、農作物倉庫,なや、かちくこや、のうさくぶつそうこ
assemble,組み立てる、集合する,くみたてる、しゅうごうする
delicate,繊細な、デリケートな,せんさいな、でりけーとな
consider,～を検討する、あるいは深く考慮すること。「考える」よりも熟考を意味し、意思決定や評価の際に用いられます。,~をけんとうする、あるいはふかくこうりょすること。「かんがえる」よりもじゅっこうをいみし、いしけっていやひょうかのさいにもちいられます。
tiny,とても小さい、微細な,とてもちーさい、びさいな
vow,誓い、誓約、誓願,ちかい、せいやく、せいがん
distress,苦痛、苦悩、精神的な痛み。,くつう、くのう、せいしんてきないたみ。
pursuit,追求、追跡、探求,ついきゅう、ついせき、たんきゅう
heritage,文化遺産、伝統、家系,ぶんかいさん、でんとう、かけい
fail,失敗する。期待された結果が得られない状態や、不成功に終わることを意味します。,しっぱいする。きたいされたけっかがえられないじょうたいや、ふせいこうにおわることをいみします。
monetary policy,金融政策。中央銀行による通貨供給量や金利の調整。,きんゆうせいさく。ちゅうおうぎんこうによるつうかきょうきゅうりょうやきんりのちょうせい。
arrange,手配する、準備する。,てはいする、じゅんびする。
cast,投げる、形を作る。,なげる、かたちをつくる。
distance,距離、空間的な間隔。,きょり、くうかんてきなかんかく。
release,解放する、公開する、発売する,かいほうする、こうかいする、はつばいする
society,社会、協会,しゃかい、きょうかい
parcel,小包、区画,こづつみ、くかく
conducting,指揮を執る、導いていること。,しきをとる、みちびいていること。
lucrative,収益性の高い、儲かる,しゅうえきせいのたかい、もうかる
strategy,戦略、作戦、方針。,せんりゃく、さくせん、ほうしん。
roll out,展開する、公開する。新製品やサービスを市場に投入する際によく使用される表現。,てんかいする、こうかいする。しんせいひんやさーびすをしじょうにとうにゅうするさいによくしようされるひょうげん。
esteem,尊敬する、重んじる,そんけいする、おもんじる
assure,保証する、確実にするために保証を与える。,ほしょうする、かくじつにするためにほしょうをあたえる。
suitable,特定の目的に適した、ふさわしい。,とくていのもくてきにてきした、ふさわしい。
in advance,前もって、事前に,まえもって、じぜんに
highly,非常に高い評価を受ける。,ひじょうにたかいひょうかをうける。
fertilizer,肥料、農作物の栄養剤,ひりょう、のうさくぶつのえいようざい
contemplate,深く考える、黙想する,ふかくかんがえる、もくそうする
given,〜を考慮すると、ある条件を前提として。,〜をこうりょすると、あるじょうけんをぜんていとして。
supervisor,上司。部下を指導し、監督する人。例 a direct supervisor(直属の上司),じょうし。ぶかをしどうし、かんとくするにん。れい a direct supervisor(ちょくぞくのじょうし)
excursion,学習や観光目的で行う短期間の旅行や遠足。,がくしゅうやかんこうもくてきでおこなうたんきかんのりょこうやえんそく。
extra,余分の、追加の、特別の,よぶんの、ついかの、とくべつの
opponent,対戦相手、反対者,たいせんあいて、はんたいしゃ
updated,更新された、最新の、新しくした,こうしんされた、さいしんの、あたらしくした
prompt,即座の、素早い、促す。,そくざの、すばやい、うながす。
prosperous,繁栄している、裕福な,はんえいしている、ゆうふくな
grandchild,孫、孫息子・孫娘,まご、まごむすこ・まごむすめ
soak,液体に浸す、しみ込ませる,えきたいにひたす、しみこませる
tub,水や液体を入れるための桶。,みずやえきたいをいれるためのおけ。
whether,～かどうか。ある選択肢についての疑問や選択肢を示す際に使います。,~かどうか。あるせんたくしについてのぎもんやせんたくしをしめすさいにつかいます。
bandwidth,帯域幅。データを転送できる容量や、処理能力の大きさ。,たいいきはば。でーたをてんそうできるようりょうや、しょりのうりょくのおおきさ。
administration,組織の運営機関。,そしきのうんえいきかん。
parental,親としての、親の権利の,おやとしての、おやのけんりの
plummet,急落する、急降下する,きゅうらくする、きゅうこうかする
desire,願望、強く望む感情。,がんぼう、つよくのぞむかんじょう。
noticeable,目立つ、顕著な。,めだつ、けんちょな。
far,遠くに、はるかに。距離が離れていること、または程度が大きいことを指します。例far away(遠く離れて),とおくに、はるかに。きょりがはなれていること、またはていどがおおきいことをさします。れいfar away(とおくはなれて)
impose,ルールを強制する。,るーるをきょうせいする。
disregard,警告や規則などを無視する,けいこくやきそくなどをむしする
symptom,症状、兆候,しょうじょう、ちょうこう
guilty,有罪の、罪を犯した,ゆうざいの、つみをおかした
pump,液体や気体を送る装置,えきたいやきたいをおくるそうち
rely on,頼る。,たよる。
magnificent,壮大で美しい、見事な様子。,そうだいでうつくしい、みごとなようす。
approval,承認。提案や要求に対して公式に認めることを指します。,しょうにん。ていあんやようきゅうにたいしてこうしきにみとめることをさします。
reassure,安心させる、心配を和らげること。,あんしんさせる、しんぱいをやわらげること。
bankruptcy,破産、倒産,はさん、とうさん
daring,大胆な、冒険的な,だいたんな、ぼうけんてきな
detail,小さな要素や細かな部分に関する情報。,ちいさなようそやこまかなぶぶんにかんするじょうほう。
clutter,物が散らかった状態,ものがちらかったじょうたい
sacrifice,何かを犠牲にする。,なにかをぎせいにする。
taste,味覚、好み、趣味,みかく、このみ、しゅみ
respectively,それぞれ、各々に,それぞれ、かくかくに
twinkle,瞬きながら輝く、きらめく。,またたきながらかがやく、きらめく。
departure,出発、離陸。また、通常とは異なる行動という意味でも使用。,しゅっぱつ、りりく。また、つうじょうとはことなるこうどうといういみでもしよう。
senate,上院、元老院,じょういん、げんろういん
spelling,言葉の正しい綴り。,ことばのただしいつづり。
slight,わずかな、些細な、軽微な。,わずかな、ささいな、けいびな。
legally,法律に従って行動する。,ほうりつにしたがってこうどうする。
greet,相手に挨拶する。,あいてにあいさつする。
mean,意味する。ある言葉や行動が表す内容。,いみする。あることばやこうどうがあらわすないよう。
apprenticeship,見習い期間、徒弟修業,みならいきかん、とていしゅぎょう
rapid,急速な、非常に速い。,きゅうそくな、ひじょうにはやい。
severe,深刻な、厳しい,しんこくな、いかめしい
adverse,良くない、不利な、逆の影響を与える。,よくない、ふりな、ぎゃくのえいきょうをあたえる。
cemetery,墓地、霊園,ぼち、れいえん
diplomatic mission,外交使節団。他国に派遣される外交官のグループ。,がいこうしせつだん。たこくにはけんされるがいこうかんのぐるーぷ。
ridge,山の尾根部分、高い線状の地形。,やまのおねぶぶん、たかいせんじょうのちけい。
voter,選挙権を持つ投票者,せんきょけんをもつとうひょうしゃ
lifelong,生涯にわたる、一生の,しょうがいにわたる、いっしょうの
internal,内部に存在する様子。,ないぶにそんざいするようす。
tighten,物を強く締めること。,ものをつよくしめること。
alternative,代替となるもの、他の選択肢や方法。,だいたいとなるもの、ほかのせんたくしやほうほう。
river,川、河川、流れ,かわ、かせん、ながれ
relevant,関連のある。特定の状況や問題に直接関係している、または重要である特性。,かんれんのある。とくていのじょうきょうやもんだいにちょくせつかんけいしている、またはじゅうようであるとくせい。
walkway,歩道、歩行者のために設計された道。,ほどう、ほこうしゃのためにせっけいされたみち。
concerning,～に関して、～について。特定の話題や事項に関連して。,~にかんして、~について。とくていのわだいやじこうにかんれんして。
blame,誰かを責める行為。,だれかをせめるこうい。
project,計画、事業。ある目的を達成するために計画された仕事や事業。,けいかく、じぎょう。あるもくてきをたっせいするためにけいかくされたしごとやじぎょう。
disruption,混乱、中断、破壊,こんらん、ちゅうだん、はかい
drainage,排水設備、排水方法,はいすいせつび、はいすいほうほう
string,紐、糸、文字列(プログラミング),ひも、いと、もじれつ(ぷろぐらみんぐ)
sovereign debt,国債。政府が発行する債券。,こくさい。せいふがはっこうするさいけん。
singular,単数の、特異な,たんすうの、とくいな
unanticipated,予測されていない状況。,よそくされていないじょうきょう。
outgoing,社交的な、外向的な性格の,しゃこうてきな、がいこうてきなせいかくの
robbery,強盗、強奪、窃盗,ごうとう、ごうだつ、せっとう
confused,混乱した、困惑した。状況が理解できず戸惑っている状態。,こんらんした、こんわくした。じょうきょうがりかいできずとまどっているじょうたい。
interfere,他者の行動に干渉すること。,たしゃのこうどうにかんしょうすること。
order,注文する。商品やサービスを要求すること。,ちゅうもんする。しょうひんやさーびすをようきゅうすること。
instructed,指示された、教えられた,しじされた、おしえられた
date,日付。年月日を記したもの。,ひづけ。ねんがっぴをしるしたもの。
textile,織物や布地に関連する。,おりものやぬのじにかんれんする。
honor,名誉、栄誉。尊敬や称賛に値する行為や達成。また、敬意を表すことも。,めいよ、えいよ。そんけいやしょうさんにあたいするこういやたっせい。また、けいいをあらわすことも。
expedition,探検や遠征の旅。,たんけんやえんせいのたび。
bottleneck,障害、ボトルネック。システムやプロセスの中で処理が滞る箇所を指す。,しょうがい、ぼとるねっく。しすてむやぷろせすのなかでしょりがとどこおるかしょをさす。
capitalism,資本主義経済体制,しほんしゅぎけいざいたいせい
formal,形式的な、公式の。正式な場面や文書で使用される。,けいしきてきな、こうしきの。せいしきなばめんやぶんしょでしようされる。
credentials,資格証明、信用状,しかくしょうめい、しんようじょう
faulty,欠点や不具合のある状態。,けってんやふぐあいのあるじょうたい。
crawl,這う、ゆっくり進む,はう、ゆっくりすすむ
eat out,外食する。,がいしょくする。
consist of,〜から成る。,〜からなる。
detour,迂回する、回り道をする,うかいする、まわりみちをする
forgetful,忘れっぽい、不注意な,わすれっぽい、ふちゅういな
gross domestic product,国内総生産。一国の経済規模を示す最も重要な指標の一つ。,こくないふそうさん。いっこくのけいざいきぼをしめすもっともじゅうようなしひょうのひとつ。
deserving,ふさわしい、値する、適格な,ふさわしい、あたいする、てきかくな
intentionally,意図的に、計画的に行うこと。,いとてきに、けいかくてきにおこなうこと。
retailer,小売業者、販売店,こうりぎょうもの、はんばいてん
gala,祭り、華やかな行事。,まつり、はなやかなぎょうじ。
flavor,味、風味、香り,あじ、ふうみ、かおり
creative,独創的な、創造力のある,どくそうてきな、そうぞうりょくのある
flagship,主力商品、旗艦店,しゅりょくしょうひん、きかんみせ
month,月。一年の十二分の一の期間。,がつ。いちねんのじゅうにぶんのいちのきかん。
confront,問題に直面する。,もんだいにちょくめんする。
custodian,管理人、物件や施設の保守管理者。,かんりにん、ぶっけんやしせつのほしゅかんりもの。
place,場所。あるものが存在している場所。,ばしょ。あるものがそんざいしているばしょ。
get along with,仲良くやる。,なかよくやる。
ecological,生態系や環境に関連すること。,せいたいけいやかんきょうにかんれんすること。
comprehend,理解する、把握する,りかいする、はあくする
surgeon,手術を行う外科医の専門職。,しゅじゅつをおこなうげかいのせんもんしょく。
refuge,危険からの避難場所、または保護。,きけんからのひなんばしょ、またはほご。
determine,決心する、決定する。最終的な判断を下すこと。,けっしんする、けっていする。さいしゅうてきなはんだんをくだすこと。
entirely,完全に、全面的に,かんぜんに、ぜんめんてきに
cutting-edge,最新の、最先端の技術,さいしんの、さいせんたんのぎじゅつ
market share,市場シェア。全体の市場における特定企業や国の占める割合。,しじょうしぇあ。ぜんたいのしじょうにおけるとくていきぎょうやくにのしめるわりあい。
metaphor,比喩的表現の一種。,ひゆてきひょうげんのいっしゅ。
data mining,データマイニング。大量のデータから有用な情報やパターンを抽出すること。,でーたまいにんぐ。たいりょうのでーたからゆうようなじょうほうやぱたーんをちゅうしゅつすること。
infection,病原体による感染症。,びょうげんたいによるかんせんしょう。
skin,人や動物の体を覆う組織,にんやどうぶつのからだをおおうそしき
misfortune,不運、不幸な出来事,ふうん、ふこうなできごと
atlantic,大西洋の、海の。,たいせいようの、うみの。
approved,承認された、認可された,しょうにんされた、にんかされた
anticipate,期待する、予期する。将来起こることを予測し、準備すること。,きたいする、よきする。しょうらいおこることをよそくし、じゅんびすること。
press,を押す、マスコミ。何かを押すこと、または新聞やテレビなどのマスコミ。,をおす、ますこみ。なにかをおすこと、またはしんぶんやてれびなどのますこみ。
worsen,状況をさらに悪化させる。,じょうきょうをさらにあっかさせる。
value,重要性を重んじる考え。,じゅうようせいをおもんじるかんがえ。
visit,訪問する。ある場所へ行くこと。,ほうもんする。あるばしょへいくこと。
impatient,待つことが苦手でせっかちな態度。,まつことがにがてでせっかちなたいど。
interpret,意味を解釈する。,いみをかいしゃくする。
quit,辞める、断念する,やめる、だんねんする
refine,不純物を取り除いて精製する。,ふじゅんぶつをとりのぞいてせいせいする。
withdraw,お金を引き出す、撤退する,おかねをひきだす、てったいする
funny,面白い、可笑しい、変な,おもしろい、おかしい、へんな
handicraft,手工芸、手で作る技術や作品。,しゅこうげい、てでつくるぎじゅつやさくひん。
veto power,拒否権。特に国連安保理における常任理事国の権限として知られる。,きょひけん。とくにこくれんあんぽりにおけるじょうにんりじこくのけんげんとしてしられる。
sanitary,衛生的な、清潔な,えいせいてきな、せいけつな
conflict,意見や利益の対立。,いけんやりえきのたいりつ。
voluntary,自主的な、他から強制されないこと。,じしゅてきな、ほかからきょうせいされないこと。
support,を支持する、支持、支援。ある考えや人を支持すること。,をしじする、しじ、しえん。あるかんがえやにんをしじすること。
approve,提案や計画を認める。,ていあんやけいかくをみとめる。
graze,軽食をとる、または動物が草を食べること。,けいしょくをとる、またはどうぶつがくさをたべること。
