thousand,千、千の
contagious,伝染性の
promulgate,公布する
tandem,縦に並んで
electronic device,電子機器
angst,不安
likelihood,起こりうる可能性。
relish,風味、持ち味
daunting,ひるんでいる
tie,物を結ぶこと、ネクタイ。
insurrection,暴動
as far as A is concerned,Aに関すると、Aに関する限りでは
get past,のそばを通る、通り抜ける
new york,アメリカの大都市
outlay,支出
dust,ほこり、塵
rejuvenate,若返らせる
beacon,のろし、目印、合図
amply,広々と、広大に
overwhelming,とても強力で圧倒的な。
glaze,上塗りする
rely,他者に頼ること、信じること。
pearls before swine,豚に真珠
sheepishly,気弱な手段で
a little too,少し～過ぎる
What is more,さらに、その上
notional,概念的な、抽象的な
largely,主に、大部分は
embrace,抱きしめる、受け入れる
blur,しみ、汚れ
inborn,生まれつきの、先天的な
genealogy,系譜、家系
on the grounds that,～という理由で
wish,望む
bark,吠える/木の皮
textiles,織物、布地
apple,りんご
finesse,巧妙な処理、うまい対処、手腕
insect,小さな昆虫類。
dedicated,捧げた、専念した。特定の目的や対象に全力を注ぐこと。
play out,最後まで演じる、遊ぶ、最後まで続ける
shift,状況や位置の変化、または変えること。
conscious,意識のある、自覚している。物事を認識できる状態。
tamper,改ざんする、偽装する
basin,盆地、たらい
hereby,ここに示すように。
emulation,良い意味での競争、模倣
pedestal,台座、基礎
shuttle,定期往復運行する。
humdrum,平凡な
berth,寝台、寝る場所
get to the point,核心をつく
spell out,綴りを書く、綴りを言う
mind,精神
cancer,癌。体の細胞が異常に増殖する病気で、深刻な健康問題を引き起こします。
incumbent,責務がある、義務がある
suburb,都市の周辺地域。
confine,制限する、限定する
organize,を組織する、を編成する
squander,浪費する、無駄遣いする、散財する
assault,暴行、身体的攻撃
hearsay,伝聞
armistice,休戦
secrete,分泌する
project,計画、事業。ある目的を達成するために計画された仕事や事業。
trust,を信用する
chip in,寄付する、金を出す
By all means,是非どうぞ
constantly,常に、いつも
bush,低木、茂み、やぶ
independent,自立した、依存しない
quota,割り当て、分け前
have in common,を共通してもっている
enrage,激怒させる
impaired,障害のある、障害がある
hang on,しがみつく、頑張る
suffering,苦しみ、悩み
routinely,日常的に、いつものように
adolescent,思春期の
dig,を掘る、採掘する
let someone down,失望させる
decrease,減少する、あるいは減る。量や数が少なくなることを指します。
compile,編集する、情報を集めて整理する。
discrepancy,不一致、食い違い
to the point,適切な、要領を得た、適当な
by now,今頃はもう
purr,のどを鳴らす
remedy,救済策、治療、解決策。
poke,つつく、突き刺す
drive,運転する
facilitate,促進する、円滑にする
pledge,約束する、誓約する、保証
stave off,避ける、防ぐ
apply to,に適用する、に応用する
contextual,文脈上の
depressed,精神的に落ち込んでいる状態。
cerebral,脳の、神経の
break out,勃発する
national security,国家安全保障。国の安全を守るための政策や体制全般。
designate,特定の役割や地位に選定する。
buddy,相棒、仲間
scold A for B,BのことでAを叱る
propel,を推し進める、前進させる
marvelous,素晴らしい
queer,風変わりな、変な
drag on,長引く、延々と続く
graft,接ぎ木、挿し木
vote,投票、または投票する。意見を示すために選択を行う行為や、その結果を指します。
benefactor,恩人、恩を受けた人
unload,荷物や貨物を降ろす、荷卸し
carnage,虐殺
dilate,膨張する
district,地域、または区域。特定の行政区画や地域を指します。
sadly,悲しそうに、残念ながら。悲しい感情や残念な状況を表現。
eyesight,視界
antagonize,敵に回す
peripheral,周辺の、近隣の
obscene,卑猥な、下劣な
saucer,受け皿
several,いくつかの、数個の。2、3個以上を指すが、manyほど多くない数を示す。
son,息子
ray,光の線や放射。
output,生産量、製造量
effortless,楽な
piety,信仰心
aim to,するつもりである、を目的とする
from now,これからは
stingy,けちな、節約好きの
hungry,空腹の
imperfect,不完全な、未完成の
play,劇
prosper,繁栄し、成功する。
affect,に影響を与える、変化や感情をもたらすこと。
social,人々の交流や関係。
sagacious,賢い
chairperson,委員長、議長。性別に関係なく会議などの進行役を指す。
leg,脚
superimpose,重ね合わせる
sidewalk,歩道、都市や町の歩行者専用の道。
conclusive,決定的な、結論的な
peer,同等の立場の人、仲間
abbey,修道院、僧院
round up,寄せ集める、切り上げる
coward,腰抜け、臆病者
tender,優しい/世話人
lemon law,欠陥商品に関する法律
solve,解決する、解く。問題や課題に対して答えを見つけること。
moat,堀
make do,なんとかやり繰りする
pass for,として通る、通過する
run against,にぶつかる、偶然出会う
seduce,を誘惑する、そそのかす
to,～へ
exchange A for B,AをBと交換する
sneer,冷笑する、あざ笑う
uncover,隠されていたものを明らかにする。
interview,面接、インタビュー、会見。
give in to,屈する、譲歩する
succumb,屈する、服する
rebuke,を叱責する、しかる
moderately,適度に、適切に
tidy,きちんとした、整った
sham,見せかけ、仮装
manageable,管理しやすい、対処可能な
chaste,純潔な
acquaint,誰かに情報を知らせる。
economic indicators,経済指標。経済状況を示す様々な統計的な指標。
specials,特別メニュー
blister,水膨れ、水疱
assure,保証する、確実にするために保証を与える。
legendary,伝説的な、伝説の
garbage,ゴミ、不要物、廃棄物全般
trade-off,トレードオフ、二律背反。一方を良くすると他方が悪くなるような関係性を示す。
nonrefundable,返金ができない条件の。
immigration,移住、入国管理
ascertain,を確かめる
levee,堤防、水害防止のための壁、防波堤
adolescence,青春期、思春期
down to earth,分別のある、現実的な
pelt,投げて攻撃する
straddle,またがる、乗り越える
medieval,中世に関連する、古代の時代。
macabre,恐ろしい、気味の悪い
hold out,持ちこたえる、我慢する
capricious,気まぐれな
fang,牙、犬歯
bestow,を授ける、与える
cram,詰め込む
valuation,評価、価値の算定。
be threatened to,に脅かされる、に恐れられる
thoroughly,隅々まで徹底的に。
retort,言い返す
be dependent on,に依存している
prospect,将来の見通しや期待。
point out,指摘する。「重要な点を指摘する」など、特に議論や説明の場面で使用。
critical,重要な決定や状況に関する。
drench,ずぶぬれにする、水浸しにする
adopt,適用する、採用する。新しい方法や考えを取り入れて使用すること。
bandit,盗賊、盗みを働く人
nip in the bud,初期に阻止する、未然に防ぐ
in focus,焦点があっている、ピントが合っている
torrent,急流
pineapple,パイナップル
soaring,舞い上がる
poultry,家禽
to some degree,ある程度、一定程度
sinister,不吉な、縁起の悪い
float,浮く、漂う、浮かべる
pass up,逃す、失う、逸する
husband,夫
achieve,達成する、成し遂げる、獲得する。
push through,押し通す、芽が出る
framework,フレームワーク。ソフトウェア開発やシステム構築の基盤となる枠組み。
toothpick,爪楊枝
injure,を傷つける
competitive,競争力のある、競争的な。他者と競い合える能力を持つ。
obstetrician,産科医
mumps,おたふく風邪
fairly,かなり、公平に。物事の程度が相当であり、偏りがないことを意味します。
get married,結婚する
shrub,低木、かん木
informative,情報価値が高い、役立つ情報の
neglect,を無視する、放っておく
his,彼の
cheap,安い
specific,具体的な、明確な
culinary,料理の、調理の。
conservation,保護、保存、維持
exaggerate,誇張する、実際以上に大きくする。
peel,食材の皮をむく行為。
weight,重さ、体重
deterrence,抑止
gene,生物の遺伝情報の単位。
harrowing,悲惨な
value,重要性を重んじる考え。
leak,中身が外に漏れ出す。
skim over,流し読みする、ざっと読む、素早く読む
restore,データや状態を元に戻す
entitle,と題する、と名づける
salty,塩辛い、塩のきいた
despair,絶望、失望
therein,その中に、内部に
midst,真ん中、まっただ中
under consideration,検討中の、審議中の
fall for,に夢中になる、騙される、引きつけられる
courtship,求愛、愛の告白
condescending,恩着せがましい
fall through,失敗に終わる、駄目になる、台無しになる
introductory,入門用の、導入の
fire,解雇する、またはクビにする。雇用契約を終わらせる行為を指します。
embassy,大使館、外国政府の代表機関。
stash,隠しておく、秘密にする
in need of,を必要として、～がぜひとも必要
subway,地下鉄。地下を走る都市の公共交通機関。
be proud of,のことを自慢に思う
brokerage,仲介手数料、取次
take offense at,に怒る、腹を立てる
hesitate to,をためらう、躊躇する
food,食べ物
stench,悪臭
hyperbole,誇張、過大評価
obscure,不明瞭な、分かりにくい
nursery school,保育園、幼稚園
agenda,議題。会議や討論の際に扱うトピックやテーマのリストを意味します。
relentlessly,容赦なく
deregulation,規制の撤廃・緩和
patio,外のテラススペース。
infirm,虚弱な
uncertain,不確実な、明確でない状態。
disruptive,破壊的な、破壊力のある
zeppelin,飛行船、ジェット
bacteria,細菌
appear,現れる、～のように見える。
original,当初の、原文、元の形。
preserve,保存する、維持する
rigor,厳格、厳重
locate,見つける、位置を突きとめる
quirk,変な癖、特異な癖
miss the boat,機会を逃す、失敗する
burden,負担、重荷、責任
in the first place,最初に、元々
build,建てる
abort,中絶する、流産する
make a promise,約束をする
conceive,考え出す、妊娠する
dauntless,恐れ知らず、大胆な
cooperation,協力、共同作業、助け合い。
rotate,回転する、中心を軸にして動くこと。
such,そのような。前に述べたようなものを指す。
mess,混乱、錯乱、無秩序
transport,人や物を運ぶ、輸送する
ballot,投票用紙、選挙票
brim,容器などの縁、帽子のつば
neither,いずれもない、またはどちらも～でない。二つの選択肢がいずれも該当しないことを表します。
have a good time,楽しむ。
belief,信念、信仰、確信、価値観。
tooth,歯
income,収入。所得、稼ぎ。
amiable,愛想が良い、感じが良い
December,１２月
dullness,鈍さ、退屈さ
circumstance,事情、特定の状況。
adverb,副詞
want,欲しい
rationale,理論的根拠、理論的基盤
insulated,断熱された、絶縁された
dichotomy,二分法、両方
butcher,肉屋
out of sight out of mind,見えないと忘れがち
accumulate,蓄積する、貯蔵する
objection,反対意見、異議申し立て
litigate,訴訟する、裁判にかける
town,街
retrieve,取り戻す、回収する行為。
absorb in,吸収する、没頭する
ankle,足首、くるぶし
childbirth,出産、分娩
shut out,を締め出す、閉め出す、遮る
negligence,怠慢、怠ける、やる気がない
cavern,洞窟
widely,広範囲に、多くの範囲に
be content with,に満足している
cluster,集団
application form,申込用紙、願書、申請書
vehement,猛烈な
never,一度も～しない、または絶対に～しない。
delusional,妄想的な
wise saying,賢明な言葉や教訓
glimmer,かすかな光、微かな光
invitation,招待。人や組織が他者に対してイベントや場所への参加を求める行為や文書。
tourism,観光、観覧
obsessive,強迫観念のある、妄想的な
avalanche,雪崩
proprietor,所有者、何らかの物や権利を持っている人
injunction,差し止め、停止命令
rupture,破裂、割れる、爆破
sentiment,感情や考えの表現。
beef,牛肉
secret,秘密
play down,を軽く扱う、手軽に扱う、を見くびる
operator,操作者、操縦者
go into effect,影響が始まる、発行される
twist someone's arm,強く説得する、押し付ける
autism,自閉症
pivot,回転軸、中心
cognitive,認識の
exceptional,普通と異なる優れた。
in no way,決して～ない
respite,一休み、休憩
logical,論理的な、合理的な、筋の通った。
faucet,蛇口
take action,行動を起こす。
heterogeneity,異種
auspicious,縁起の良い
adjustable,調整可能な、順応できる
observation,物事を観察する行為。
boil down to,煮詰める、結局～になる
dominate,を支配する、を統制する
drop by,に立ち寄る、短時間訪れる、少し顔を出す
every minutes,毎分ごとに
pun,駄じゃれ
benevolent,慈悲深い、親切な
information,情報。事実や知識、データなど、何かについての知らせを指します。
silk,絹
emigration,移住
relapse,再発、再度の発生
taint,腐敗、汚染
coal,石炭、炭
neighboring,隣接している、近くにある
set forth,説明する、を明らかにする
floor-to-ceiling,天井までの高さ。
in the light of,から見て
wrap,を包む、巻きつける
radiant,輝く、ぎらぎら輝く
abiding,永続的な、永久の
appropriate,適切な、ふさわしい。状況や目的に合っていることを意味します。
rebuild,を再建する、改築する
ingest,摂取する
portfolio,ポートフォリオ、作品集(人物像は誤り)
attentive,注意深い、気配りのある
substitute A for B,Bの代わりにAを使う
flabby,たるんだ
differentiate,を区別する
stick out,目立つ
paralyze,麻痺させる
beside,の横に、隣に
notoriously,悪名高く
stupor,昏迷
quadrant,四分円
proviso,但し書き
bequeath,遺言で譲る
mingle with,と混ざる、交じる
many,多くの
jerk,急な動き
complimentary,無料の、招待の、賛辞の、お世辞の。
insistence,主張、信条、主義
be obsessed with,に取り付かれる、で頭がいっぱい
ostensible,表向きの
lock up,刑務所、留置所
tycoon,大物
fluffy,綿毛の、フワフワした
deride,あざ笑う、嘲笑する
transitory,一時的な
disproportionate,不均衡な
burst,破裂する、突然開く
split up,を分ける、分割する、区別する
chasm,裂け目、割れ目
appliance,家電、電化製品。家庭で使用する電気機器全般。
siege,包囲
tacky,べとついた
drink to,を祝って飲む、偲んで酒を飲む
threaten A with extinction,Aを絶滅の危機にさらす、Aを危機に瀕させる
validity,正当性、有効性
no pain no gain,苦労なくして成功なし
emblem,象徴、何かを代表するものや事象、権化
by the end of,の終わりまでに
curious,好奇心が強い、探究心が強い
umbrage,立腹、不機嫌
sympathetic,思いやりのある、共感的な
pomegranate,ざくろ
bullet,弾丸
palm,手のひら、（動物の）前足の裏
sow,種をまく、播種する
avert,を逸らす、避ける
Saturday,土曜日
conglomerate,複数企業の複合企業体
dictum,意見、格言
advanced,進んだ、進化した、上級の。
implied,暗示した、明言せずに示した。
art,美術、芸術。人間の創造性を表現した作品。
now and then,時々
dispatch,を送る、発送する
poverty,貧困、貧乏、困窮
give A credit for B,BについてAを信用する、AのBを認める
litter,ごみ、がらくた
check ～ out,を確認する
suitor,求婚者、プロポーザルする人
yore,昔、過去
term,期間、専門用語。一定の時間の長さ、または特定の分野で使用される特殊な言葉。
out of date,時代遅れの、古風な
withdrawal,撤回、撤退
be aware of,に気づいている、認識している
solemnity,厳粛、荘重
shed,流す、排出する
biceps,上腕二頭筋
mundane,平凡な、普通の
alienate,を遠ざける
liner,定期船
sentence,文。言葉の組み合わせによって意味をなす最小の文法単位を指します。
rigidly,厳格に、融通が利かない様子で
instantaneous,即時の、瞬間の
comet,彗星、ほうき星
straight,まっすぐに
beyond number,数えきれないほど、無数の
embarrassed,恥ずかしい、当惑した。uncomfortable な状況で感じる感情。
expenditure,支出、経費支払い
deliberate,故意の、意図的な
autonomous,自律的な、独立的な
instead of,の代わりに、代わって
emotion,感情、情熱
unfavorable,否定的な、良くない影響を持つ。
forward,前方へ。前へ進む方向へ。
plumage,羽毛
human rights,人権
satchel,学生かばん
expression,表情、表現方法
infer,を推論する、推量する
calculation,計算、見積もり
narrow,狭い、視野が限られた
bravado,虚勢、見せかけ
luster,光沢、艶、輝き
rusty,さびた
unbelievable,信じられない、信じがたい
lead,を導く
infallible,間違いのない、確実な
with open arms,両手を広げて、心から喜んで
day off,休みの日
dew,露、朝露
add to,付け加える、増やす
sundry,雑多な
war,戦争、衝突
venom,毒
feral,野生の、人嫌いの
prior to,以前に
weather,天候、天気
anecdotal,逸話の、物語性のある
ledger,原簿
go through with,で通り抜ける、通過する
bilateral talks,二国間協議。二つの国家間での直接的な話し合い。
fraternal,兄弟の、兄妹の関係
intervene,介入する、仲裁する
set about,始める
dusk,夕暮れ、たそがれ
doubtfully,疑わしく、怪しい
divinity,神格
agreeable,好ましい、同意できる
claim to do,することを主張する
nuclear power,原子力
ingredient,材料。料理や製品を作るために使用される個々の成分や要素。
appearance,外見、視覚的印象。
naught,無価値
haste makes waste,急ぐと失敗する
lyric,歌詞・叙情的な
November,11月
molecule,分子、微粒子
snake,蛇
masterpiece,傑作、名作
punish,を罰する、懲らしめる
athlete,スポーツ選手
play at,起用する、遊ぶ
profession,職業、専門職
tumble,転落する、倒れる
suppression,抑制、鎮圧
expound,解説する
yet,まだ 今のところは
sporadic,散発的な
conciliate,調停する
recovery,回復、復元
direct A to B,AにBへの道を教える、AをBへ誘導する
exclusion,除外、排除、締め出し
for the purpose of,の目的で、を目的に
technician,技術者、専門的な技能を持つ人。特に機械や電気機器などの専門家。
all thumbs,手先が不器用な、ぶざまな
get on one 's nerves,人の神経にさわる
caliber,口径、直径
office,事務所。仕事をする場所、オフィス。
environmental,環境の、自然環境の
would rather than,むしろ～したい
hold over,を持ち越す、延期する
on trial,試用中で、審理中で
algebra,代数
do one's best,最善を尽くす
trough,水桶
bother,面倒、迷惑をかける
normally,通常は、普通に
instruct,知識や技能を教える。
supplement,追加の情報や物、補足。
aid,援助、支援する
belong to,に属している
a pair of,一組の
trace,跡を追う、起源を調べる
extinct,絶滅した、滅びた
see,分かる
subsistence,生計
cloth,服
sprawl,寝そべる
dialect,方言、地域特有の言語
preference,好み、選好すること。
clutter,物が散らかった状態
glint,きらめく
huge,巨大な、広大な
principle,原理、原則、道徳基準
dehydrate,脱水する、水を抜く
disrupt,混乱させる
meanwhile,一方で。その間に、一方では。
ups and downs,浮き沈み、上昇と下降
psychological,心理的な、精神的な。心や精神に関連すること。
fend off,防ぐ、避ける
deprive A of B,AからBを奪う
metro,地下鉄
instrumental,重要な役割を果たす、助けになる。
tolerate,に耐える、寛大に取り扱う
fill in,に必要事項を記入する
burrow,隠れ場所、隠れ家
press,を押す、マスコミ。何かを押すこと、または新聞やテレビなどのマスコミ。
parking,駐車場、停車場
go mad,頭がおかしくなる
hand over,を引き渡す
anticipation,予期、期待、予測
be contrary to,に反している
back down,手を引く、引き下がる
renege,誓いに背く
anorexia,拒食症
water down,水で薄める、和らげる
quell,鎮める、落ち着かせる
intrepid,勇敢な
attachment,何かに付け加えられるもの。
get used to,慣れる、習慣づく
divulge,漏らす、暴露する
pay attention,注意を払う。
institute,研究や教育を行う所。
fortune,幸運、または財産のこと。
employee,従業員、社員。
terse,簡潔な
awareness,知識や理解の程度。
calculate,数字を使って計算する、見積もる。
and yet,それなのに、尚且つ
data preprocessing,データ前処理。生データを分析や学習に適した形に整形すること。
none the more,それでもなお、それにも関わらず
fiat,命令、指令や要求
attend,出席する、または参加する。会議やイベントに顔を出すことを指します。
back up,を後援する、後退させる
follow suit,先例に従う
long time no see,久しぶり
make up for,の埋め合わせをする
in recognition of,の認識で、理解して
callous,硬くなった
senator,上院議員(米国など)
last,持続する、長持ちする。
fluent,流暢な、スムーズな話し方
in the pipeline,進行中で
superfluous,余計な、過剰な
drop,落ちる
register for,に登録する、に記録する、に記載する
watch step,足元に注意する
laundry,洗濯をする場所や洗濯物。
flow,流れる、動きや流れ。
drain,排出させる、排水をする
be caught in,に捕まる
heel,かかと、きびす
depth,深さ
eligibility,適格性、妥当性
tentacle,触手
collision,衝突、対立
Let me,させてください
study,勉強する
trivial,取るに足らない
predatory,肉食の
detain,を引き留める、留め置く
origin,起源、発祥、原点
decadent,堕落した、衰退した
coastal,湾岸の、海岸の
plastic bag,ビニール袋、プラスチック袋
speak ill of,の悪口を言う、を悪く言う
mountain,山
trade,surplus 貿易黒字。輸出額が輸入額を上回る状態。
jump on the bandwagon,流行に乗る、人気のものに飛びつく
detailed,詳細な、綿密な。細かい部分まで行き届いた。
flatten,平らにする、押しつぶす
apply,適用する。特定の規則や方法を実行したり、適用範囲を広げることを意味します。
daze,目をくらます
fury,激怒
cadence,韻律
immutable,不変の、永遠の
see in,案内して部屋に入れる、迎える
farm,農場
lifelike,生きてるような、生き写しの
advocate,支持する、提唱する、擁護する
set off,を引き起こす、招く、原因となる
convent,修道院、僧院
stroke,打撃、衝撃
cooperative,協力的な、協同の
obsession,強迫観念、執着、こだわり。
hyperparameter,ハイパーパラメータ。学習アルゴリズムの制御パラメータ。
wobble,ぐらぐらする、揺れる
friction,摩擦、不和
widespread,広範囲に広がる。
difficult,難しい
fatigue,体力や気力の疲労、消耗。
merciful,慈悲深い
strictly speaking,厳密に言えば、正確には
protectionism,保護主義。自国産業を守るための政策。
outfit,特定の目的や場面に合わせた衣装や服装。
batch,一度に処理するひとまとめ。
agriculture,農業、農学、農耕。
vomit,吐く/嘔吐
genetic,遺伝的な、遺伝による
in the beginning,初めのうちは
mull over,よく考える、熟考する
subversive,破壊する、壊す
propriety,礼儀、可否
lesion,傷害
document,書類。情報を記録した紙や電子ファイル。例 a legal document(法的な書類)
detective,探偵、刑事、捜査官
elevate,上げる、昇進させる
upscale,高級な
evacuate,避難する、逃避する
export,物品を輸出すること。
retirement,退職、引退、年金生活
blink,まばたきすること。目を閉じる。
criterion,判断基準、規準
arousal,覚醒
cough,咳払いする/咳
spiral,螺旋の
package,包み、小包、梱包、パッケージ
restriction,制限、規制、制約。
scholarship,奨学金、育英資金
let on,漏らす、白状する
electronics,電気
poignant,強烈な、極端な
adjustment,状況に応じた調整作業。
inside,中身、内部
alleged,申し立てられた、容疑の
be incongruous with,と矛盾する、と不一致である
along with,に沿って、従って、伴って
bottom out,底をつく、底値に達する
what to,何をすべきか
wallet,さいふ
in tough,苦労して、厳しい
volatile,揮発性の、揮発する
abound,たくさんいる、多い
equilibrium,均衡、つり合い
ultimatum,最終通告
ruefully,悲しそうに
interstellar,星間の
fertilizer,肥料、農作物の栄養剤
valiant,勇敢な、勇ましい
procurement,必要な物資の調達活動。
at the latest,遅くとも
employer,雇用者、雇い主、会社。
acknowledged,正式に認めた状態。
way to go,良い調子、順調な状態
plaintiff,原告、訴訟提起者
found,設立する、創立する。
pastime,娯楽、暇つぶし
translucent,半透明の、透けて見える
playoff,決勝戦または試合
calamity,災害
sensible,分別のある、賢明な
daft,まぬけの
chaff,もみ殻
guilty,有罪の、罪を犯した
gallant,勇敢な、勇気のある
sing,歌う
in a passion,情熱を持って、熱心に
ventilate,換気する
regulatory,規制、制限
expertise,専門知識、熟練
alumnus,卒業生、卒業した人
coup,クーデター、政権転覆
partly,部分的に、一部分
mary,女性名、定番
enemy,敵
glitter,きらきら輝く
existential,実存の、存在する
continuum,連続体、途切れることなく続くもの
disease,病気、疾病、症状。
adrift,漂流して、漂う、流されている
wane,欠ける、不足している、欠損している
breakfast,朝食
feedback,反応や意見のこと。
rational,理性的な、合理的な
cramp,けいれん、引きつれ
grateful,感謝して、恩恵を感じている状態。
stutter,口ごもる、話すのをためらう、言葉に詰まる
stalemate,行き詰まり
besides,その上 さらに
frank,率直な。隠し立てせずに素直に意見を述べることを意味します。
crude,原油の、天然の
impose,ルールを強制する。
owing to,のために、のおかげで
praise,称賛する、賞賛する
a kind of,一種の
feast,ごちそう、宴会、豊富な食事。
plea,真剣な願いや嘆願、または弁解。
iceberg,氷山、巨大な氷の塊
surgery,外科手術、診療所
celebrate,祝う、祝福する
contentment,満足、満悦
productivity,生産性、生産力。効率的に成果を上げる能力。
while,～する間。あることが行われている間に、同時に別のことが行われることを表す。
lurid,赤く輝いた、毒々しい
conservatively,政策や意見が保守的な方法で。
ornate,華やかな、豪華な
kill oneself,自殺する、自害する
fast,速い
gulf,湾
childhood,子供時代、幼少期の期間。
whirlwind,旋風、つむじ風、竜巻
norm,規範、基準
penniless,無一文の
construction,建設、または建造。建物やインフラを作る過程を指します。
disposal,処分、廃棄、始末
speculate,推測する、投機する
encourage to,するように励ます
distinctive,他と区別できる特徴的な様子
ask 人 about,人に～について聞く
nick,刻み目
impassive,無表情の
turn into,に変わる、に転ずる
brave,勇敢な
emerging,新興の、台頭しつつある
pang,激痛
aside,わきに、別として、さておき。
assess,評価する、査定する。価値や能力を判断すること。
play a role in,において役割を果たす
lemon,失敗、欠陥品
hail from,の出身である、(船が)から来る
void,無効の
give a hand,に手を貸す
training regimen,計画的な練習
in conclusion,結論として、最終的に
sergeant,軍曹
impulse,衝動、突発的な欲求
encryption,暗号化
competitor,競争相手・ライバル会社
lisp,舌足らずに発音する
altruistic,利他的な
faithful,忠実な、誠実な
king,王様
unstable,不安定な、ゆらぎやすい
ineffable,言葉で言い表せない、言葉では言い尽くせない
other,ほかの
by way of,～経由で
attendance,出席、参加。学校や会議などへの出席状況。「出席率」など。
cartoon,アニメや漫画、風刺画
marquee,テント、ひさし
denial,否定、拒絶、拒否
visage,顔
laura,女性名、伝統的
evident,明らかな、明白な
in large,大規模に、概して
trivia,些細な事
enjoin,命じる
disgrace,不名誉、恥辱、失墜した名誉。
inactive,活動停止中の、不活発な状態
truth,真実、事実
papaya,パパイヤ
opinion,個人の考えや意見。
exert oneself to,するために努力する、するために尽力する
impudent,厚かましい
be known as,として知られている、として認知されている
trinity,三位一体、三つ
empirical,経験に基づいた、実績からの
be unable to,できない
corresponding,一致する、相応する。
pull off,もぎ取る、成功を掴む
stature,身長、身の丈
tap,軽くたたく、軽く打つ
Jewish,ユダヤ人、ユダヤ教徒
potentially,潜在的に、可能性がある。
arise from,から生じる
adorn,を飾る
crown,王冠、王座
wrinkle,しわ
since then,それ以来、それ以降
under way,進行中で、進行する
agony,ひどい肉体的苦痛。
between A and B,A と B の間にある、A から B まで
repress,を抑圧する、鎮圧する
buyer,買い手、購入者
repatriate,送還する
be worried about,のことで心配している
often,しばしば、よく
tout,うるさく勧誘する、しつこく誘う
boast,自慢する、誇示する
read off,を読み上げる、すらすら読む、声に出して読む
pliant,しなやかな
debunk,正体を暴露する
stand to reason,筋が通る、道理にかなう
homemade,手作りの
companion,連れ、親しい仲間
intrigue,陰謀
at ease,気楽に、気負いなく
plebiscite,国民投票、普通選挙
civilize,文明化する、開化させる
ancestral,先祖の、祖先の
top banana,一番偉い人
short-term,短期の
pull into,引き入れる、引き込む
pronoun,代名詞
phenomenon,特異な現象や事象。
foretell,を予告する、予言する
chop,刻む
chivalry,騎士道
grumble,不平、不満
commemoration,記念
wipe off,をふき拭い取る
refuse,提案や要求を拒否すること。
excited,興奮した
animal,動物
blurry,ぼやけた
portable,持ち運び可能な、携帯できる
aouvenir,お土産、記念品
as far as I know,私の知る限り
conveniently,利便性が高く、便利に。
commandments,掟
artistic,芸術に関連する、創造的な。
in public,人前で
lesser,より少ない、いっそう少ない
pass on,通り過ぎる、を伝える
pilfer,くすねる
catch a glimpse of,をちらっと見る、垣間見る
commit suiside,自殺する
sardonic,冷笑的な、皮肉な
paste,のり、接着剤
incest,近親相姦、近親関係
locale,現場
can,～できる
commandment,命令、指示、指令
practice,練習する、実践する。技能を向上させるための反復。
wicked,道徳的に悪い性質。
insatiable,強欲な、貪欲な
disappearance,失踪、消滅
inflict A on B,BにAを与える、負わせる
flaunt,誇示する、見せびらかす
secession,離脱、退出すること
cut back on,削減する
negligible,取るに足らない
transfer,転送する、乗り換える。情報を別の場所に移す、または移動手段を変えることを意味します。
under fire,攻撃を受けて、批判を受けて
graveyard,墓地、霊園
eccentric,風変わりな、普通でない
indomitable,屈しない、不屈の
cross out,線を引いて消す、を抹消する
interpretive,解釈の
an apple a day,健康維持の秘訣
utterance,発言、発声
wean,離乳させる
capture,を捕まえる、捉える
complain of,の不満を漏らす、について苦情を言う
unveil,秘密や真実を明らかにする。
late,遅い
deadlock,行き詰まり
surge,波打つ、急に上がる
tutorial,教育目的の家庭教師や指導内容。
impending,起こりそうな、可能性がある
debtor,債務者、借金者
reminiscent,思い出させる
mold,鋳型、型造り・型どる
accountancy,会計業務、経理専門職
debilitate,衰弱させる、弱める
epitomize,縮める
vandalism,破壊行為、破壊的な行い
shopping,買い物
innate,生まれつきの、先天的な
quality,品質、質。
proclaim,公に宣言すること、広く知らせる。
distributed,配布した、分配した
flee,逃げる、逃走する
component,構成要素、部品
more and more,ますます多くの、更に
oblivion,忘却
subsidiary,親会社の子会社。
revere,尊敬する
exorbitant,法外な、途方もない
at face value,額面通り、表面通りの価値で
cuddle,を抱きしめる
reportedly,伝えられるところでは、噂によれば。
plum,すもも、プラム
lead to,に導く、～につながる
argument,議論、口論
yeasty,発酵する、活発な
account,説明や理由を提供すること、または銀行口座のこと。
broach,先の尖ったもの
itinerary,旅程、旅行計画表。旅行や出張の日程や行程を示した予定表。
orbit,軌道、周回
stunt,発育を妨げる、成長を阻害する
mane,たてがみ
more than,より多い
reaction,反応、反響
petite,小柄な、華奢な
no sweat,容易に、お安い御用で
in chorus,声を揃えて
round and round,グルグルと、うろうろと
schematic,概略図の
tell to ～,に～するように言う
formal,形式的な、公式の。正式な場面や文書で使用される。
quash rumors,噂を抑制する、否定する
encourage to ～,に～するように促す
ambivalent,意味:矛盾した感情を持つ、複雑な気持ち。好きと嫌い、賛成と反対など相反する感情が共存している状態。
instruction,指示、指導
whom,誰を
brace,支える
lunge,突進、急進
at intervals,飛び飛びに、時々
best for,～にとって最良の、～に最適である
dispute,意見の不一致や争い。
cloud,雲
traffic,車や人が道路上を行き来すること、交通。
talk,話す
meditate,瞑想する、熟考する
knee,ひざ
foyer,休憩室、待合室
